C00024968|01032017|500|3|2865
C00024968|01042017|365|1|365
C00024968|01052017|1125|6|3600
C00024968|01062017|2000|3|4500
C00024968|01092017|250|1|250
C00024968|01102017|250|5|3000
C00024968|01112017|500|7|6000
C00024968|01132017|300|5|3683
C00024968|01142017|375|2|750
C00024968|01152017|375|2|750
C00024968|01162017|250|1|250
C00024968|01172017|2000|1|2000
C00024968|01182017|250|2|500
C00024968|01192017|275|2|550
C00024968|01202017|250|4|830
C00024968|01222017|500|1|500
C00024968|01232017|250|2|500
C00024968|01242017|250|1|250
C00024968|01252017|365|3|1115
C00024968|01272017|250|1|250
C00024968|01282017|250|4|1166
C00024968|01312017|625|2|1250
C00076299|01042017|5000|1|5000
C00076299|01312017|215|21|7248
C00084871|01312017|384|4|1459
C00089136|01122017|208|19|4332
C00089136|01202017|110|1|110
C00089136|01272017|187|54|8718
C00117838|01132017|211|1|211
C00117838|01272017|192|7|1334
C00193433|01012017|25|11|3570
C00193433|01022017|50|5|1350
C00193433|01032017|100|3|550
C00193433|01062017|618|4|1351
C00193433|01072017|100|7|729
C00193433|01092017|50|7|6611
C00193433|01102017|1200|9|5850
C00193433|01112017|650|30|16590
C00193433|01122017|250|11|4850
C00193433|01132017|250|45|25041
C00193433|01152017|50|20|3850
C00193433|01162017|275|60|29838
C00193433|01172017|500|20|8285
C00193433|01182017|613|50|35690
C00193433|01192017|500|33|20790
C00193433|01202017|500|37|22880
C00193433|01212017|100|37|13128
C00193433|01222017|100|19|11500
C00193433|01232017|250|155|77549
C00193433|01242017|625|20|8735
C00193433|01252017|618|22|12471
C00193433|01262017|36|39|22576
C00193433|01272017|100|20|10350
C00193433|01282017|25|14|2660
C00193433|01292017|250|8|3050
C00193433|01302017|375|50|34882
C00193433|01312017|250|63|31195
C00325332|01132017|5000|8|28500
C00325332|01192017|2000|4|8500
C00325332|01242017|4250|8|28500
C00325811|01312017|384|9|3302
C00333534|01312017|212|1|212
C00434811|01202017|150|2|300
C00473918|01192017|5000|1|5000
